	title	authors	average_rating	isbn	isbn13	language_code	  num_pages	ratings_count	publication_date	publisher
2	Harry Potter and the Chamber of Secrets (Harry Potter  #2)	J.K. Rowling	4.42	0439554896	9780439554893.0	eng	352.0	6333.0	11/1/2003	Scholastic
6	Harry Potter Collection (Harry Potter  #1-6)	J.K. Rowling	4.73	0439827604	9780439827607.0	eng	3342.0	28242.0	9/12/2005	Scholastic
7	The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)	Douglas Adams	4.38	0517226952	9780517226957.0	eng	815.0	3628.0	11/1/2005	Gramercy Books
8	The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)	Douglas Adams	4.38	0345453743	9780345453747.0	eng	815.0	249558.0	4/30/2002	Del Rey Books
9	The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)	Douglas Adams	4.22	1400052920	9781400052929.0	eng	215.0	4930.0	8/3/2004	Crown
10	The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)	Douglas Adams/Stephen Fry	4.22	0739322206	9780739322208.0	eng	6.0	1266.0	3/23/2005	Random House Audio
11	The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)	Douglas Adams	4.38	0517149257	9780517149256.0	eng	815.0	2877.0	1/17/1996	Wings Books
12	A Short History of Nearly Everything	Bill Bryson	4.21	076790818X	9780767908184.0	eng	544.0	248558.0	9/14/2004	Broadway Books
13	Bill Bryson's African Diary	Bill Bryson	3.44	0767915062	9780767915069.0	eng	55.0	7270.0	12/3/2002	Broadway Books
14	Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right	Bill Bryson	3.87	0767910435	9780767910439.0	eng	256.0	2088.0	9/14/2004	Broadway Books
15	In a Sunburned Country	Bill Bryson	4.07	0767903862	9780767903868.0	eng	335.0	72451.0	5/15/2001	Broadway Books
16	I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away	Bill Bryson	3.9	076790382X	9780767903820.0	eng	304.0	49240.0	6/28/2000	Broadway Books
17	The Lost Continent: Travels in Small Town America	Bill Bryson	3.83	0060920084	9780060920081.0	eng	299.0	45712.0	8/28/1990	William Morrow Paperbacks
18	Neither Here nor There: Travels in Europe	Bill Bryson	3.86	0380713802	9780380713806.0	eng	254.0	48701.0	3/28/1993	William Morrow Paperbacks
19	Notes from a Small Island	Bill Bryson	3.91	0380727501	9780380727506.0	eng	324.0	80609.0	5/28/1997	William Morrow Paperbacks
20	The Mother Tongue: English and How It Got That Way	Bill Bryson	3.93	0380715430	9780380715435.0	eng	270.0	28489.0	9/28/1991	William Morrow Paperbacks
21	J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	J.R.R. Tolkien	4.59	0345538374	9780345538376.0	eng	1728.0	101233.0	9/25/2012	Ballantine Books
22	The Lord of the Rings (The Lord of the Rings  #1-3)	J.R.R. Tolkien	4.5	0618517650	9780618517657.0	eng	1184.0	1710.0	10/21/2004	Houghton Mifflin Harcourt
23	The Fellowship of the Ring (The Lord of the Rings  #1)	J.R.R. Tolkien	4.36	0618346252	9780618346257.0	eng	398.0	2128944.0	9/5/2003	Houghton Mifflin Harcourt
24	The Lord of the Rings (The Lord of the Rings  #1-3)	J.R.R. Tolkien/Alan  Lee	4.5	0618260587	9780618260584.0	en-US	1216.0	1618.0	10/1/2002	Houghton Mifflin Harcourt
25	The Lord of the Rings: Weapons and Warfare	Chris   Smith/Christopher  Lee/Richard Taylor	4.53	0618391002	9780618391004.0	eng	218.0	19822.0	11/5/2003	Houghton Mifflin Harcourt
26	The Lord of the Rings: Complete Visual Companion	Jude Fisher	4.5	0618510826	9780618510825.0	eng	224.0	359.0	11/15/2004	Houghton Mifflin Harcourt
27	Agile Web Development with Rails: A Pragmatic Guide	Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz	3.84	097669400X	9780976694007.0	eng	558.0	1430.0	7/28/2005	Pragmatic Bookshelf
28	Hatchet (Brian's Saga  #1)	Gary Paulsen	3.72	0689840926	9780689840920.0	eng	208.0	270244.0	4/1/2000	Atheneum Books for Young Readers: Richard Jackson Books
30	Guts: The True Stories behind Hatchet and the Brian Books	Gary Paulsen	3.88	0385326505	9780385326506.0	eng	144.0	2067.0	1/23/2001	Delacorte Press
31	Molly Hatchet - 5 of the Best	Molly Hatchet	4.33	1575606240	9781575606248.0	eng	56.0	6.0	6/10/2003	Cherry Lane Music Company
32	Hatchet Jobs: Writings on Contemporary Fiction	Dale Peck	3.45	1595580271	9781595580276.0	en-US	228.0	99.0	11/1/2005	The New Press
33	A Changeling for All Seasons (Changeling Seasons #1)	Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati	3.76	1595962808	9781595962805.0	eng	304.0	167.0	11/1/2005	Changeling Press
34	Changeling (Changeling  #1)	Delia Sherman	3.6	0670059676	9780670059676.0	eng	256.0	978.0	8/17/2006	Viking Juvenile
35	The Changeling Sea	Patricia A. McKillip	4.06	0141312629	9780141312620.0	eng	137.0	4454.0	4/14/2003	Firebird
36	The Changeling	Zilpha Keatley Snyder	4.17	0595321801	9780595321803.0	eng	228.0	1176.0	6/8/2004	iUniverse
37	The Changeling	Kate Horsley	3.55	1590301943	9781590301944.0	eng	339.0	301.0	4/12/2005	Shambhala
38	The Changeling (Daughters of England  #15)	Philippa Carr	3.98	0449146979	9780449146972.0	eng	369.0	345.0	8/28/1990	Ivy Books
39	The Known World	Edward P. Jones	3.83	0061159174	9780061159176.0	eng	388.0	29686.0	8/29/2006	Amistad
40	The Known World	Edward P. Jones/Kevin R. Free	3.83	006076273X	9780060762735.0	en-US	14.0	55.0	6/15/2004	HarperAudio
41	The Known World	Edward P. Jones	3.83	0060749911	9780060749910.0	eng	576.0	22.0	6/15/2004	Harper
42	Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives	Satyajit Das	3.83	0273704745	9780273704744.0	eng	334.0	1456.0	5/15/2006	FT Press
43	Artesia: Adventures in the Known World	Mark Smylie	4.13	1932386106	9781932386103.0	eng	352.0	52.0	12/14/2005	Archaia
44	The John McPhee Reader (John McPhee Reader  #1)	John McPhee/William Howarth	4.42	0374517193	9780374517199.0	eng	416.0	562.0	6/1/1982	Farrar  Straus and Giroux
45	Uncommon Carriers	John McPhee	3.95	0374280398	9780374280390.0	en-US	248.0	1630.0	5/16/2006	Farrar Straus Giroux
46	Heirs of General Practice	John McPhee	4.17	0374519749	9780374519742.0	eng	128.0	268.0	4/1/1986	Farrar  Straus and Giroux
47	The Control of Nature	John McPhee	4.24	0374522596	9780374522599.0	en-US	288.0	3498.0	9/1/1990	Farrar  Straus and Giroux
48	Annals of the Former World	John McPhee	4.34	0374518734	9780374518738.0	eng	720.0	3115.0	1/6/1999	Farrar  Straus and Giroux
49	Coming Into the Country	John McPhee	4.22	0374522871	9780374522872.0	eng	448.0	5704.0	4/1/1991	Farrar  Straus and Giroux
50	La Place de la Concorde Suisse	John McPhee	3.92	0374519323	9780374519322.0	fre	160.0	698.0	4/1/1994	Farrar  Straus and Giroux
51	Giving Good Weight	John McPhee	4.23	0374516006	9780374516000.0	eng	288.0	542.0	4/1/1994	Farrar  Straus and Giroux
52	Rising from the Plains	John McPhee	4.23	0374520658	9780374520656.0	eng	208.0	1341.0	11/1/1987	Farrar  Straus and Giroux
53	The Heidi Chronicles	Wendy Wasserstein	3.75	0822205106	9780822205104.0	eng	81.0	1423.0	3/1/2002	Dramatists Play Service
54	The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic	Wendy Wasserstein	3.84	0679734996	9780679734994.0	eng	249.0	2766.0	7/2/1991	Vintage
55	Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening	Heidi Hayes Jacobs	3.94	1596670231	9781596670235.0	eng	138.0	31.0	3/29/2006	Routledge
56	Simply Beautiful Beaded Jewelry	Heidi Boyd	3.77	1581807740	9781581807745.0	en-US	128.0	62.0	3/14/2006	North Light Books
57	Always Enough: God's Miraculous Provision Among the Poorest Children on Earth	Heidi Baker/Rolland Baker	4.46	0800793617	9780800793616.0	eng	192.0	860.0	9/1/2003	Chosen Books
58	Mapping the Big Picture: Integrating Curriculum & Assessment K-12	Heidi Hayes Jacobs	3.68	0871202867	9780871202864.0	en-US	108.0	77.0	1/28/1997	Association for Supervision & Curriculum Development
59	Heidi (Heidi  #1-2)	Johanna Spyri/Beverly Cleary/Angelo  Rinaldi	3.99	0753454947	9780753454947.0	eng	352.0	153317.0	11/15/2002	Kingfisher
60	Getting Results with Curriculum Mapping	Heidi Hayes Jacobs	3.25	0871209993	9780871209993.0	eng	192.0	55.0	11/15/2004	ASCD
61	There's Always Enough: The Miraculous Move of God in Mozambique	Rolland Baker/Heidi Baker	4.46	1852402873	9781852402877.0	eng	192.0	34.0	4/28/2003	Sovereign World
62	What to Expect the First Year (What to Expect)	Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome	3.89	0761129588	9780761129585.0	eng	832.0	11797.0	10/16/2003	Workman Publishing Company
63	The Player's Handbook: The Ultimate Guide on Dating and Relationships	Heidi Fleiss/Libby Keatinge	3.82	0972016414	9780972016414.0	eng	123.0	34.0	5/10/2004	One Hour Entertainment
64	Simply Beautiful Beading: 53 Quick and Easy Projects	Heidi Boyd	3.78	1581805632	9781581805635.0	en-US	128.0	78.0	8/19/2004	North Light Books
65	God Emperor of Dune (Dune Chronicles  #4)	Frank Herbert	3.84	0441294677	9780441294671.0	eng	423.0	2785.0	6/15/1987	Ace Books
66	Chapterhouse: Dune (Dune Chronicles #6)	Frank Herbert	3.91	0441102670	9780441102679.0	eng	436.0	38778.0	7/1/1987	Ace Books
67	Dune Messiah (Dune Chronicles #2)	Frank Herbert	3.88	0441172695	9780441172696.0	eng	331.0	97494.0	7/15/1987	Ace Books
68	Dreamer of Dune: The Biography of Frank Herbert	Brian Herbert	4.01	0765306476	9780765306470.0	en-US	592.0	784.0	7/1/2004	Tor Books
69	Heretics of Dune (Dune Chronicles  #5)	Frank Herbert	3.86	0399128980	9780399128981.0	eng	480.0	272.0	4/16/1984	Putnam
70	The Road to Dune	Frank Herbert/Brian Herbert/Kevin J. Anderson	3.88	0765353709	9780765353702.0	eng	426.0	4789.0	8/29/2006	Tor Science Fiction
71	Heretics of Dune (Dune Chronicles #5)	Frank Herbert	3.86	0441328008	9780441328000.0	eng	471.0	45388.0	8/15/1987	Ace Books
72	The Lord of the Rings: The Art of the Fellowship of the Ring	Gary Russell	4.59	0618212906	9780618212903.0	eng	192.0	26153.0	6/12/2002	Houghton Mifflin Harcourt
73	The Power of One (The Power of One  #1)	Bryce Courtenay	4.35	034541005X	9780345410054.0	eng	544.0	69167.0	9/29/1996	Ballantine Books
74	The Power of One (The Power of One  #1)	Bryce Courtenay	4.35	0385732546	9780385732543.0	eng	291.0	45.0	9/13/2005	Delacorte Books for Young Readers
75	The Power of One: One Person  One Rule  One Month	John C. Maxwell/Stephen R. Graves/Thomas G. Addington	4.28	0785260056	9780785260059.0	en-US	256.0	16.0	11/1/2004	Thomas Nelson
